Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Elec_10x10.2,1,680µF,     C3348
C3,1206,1,0.1uF,C2180991
C4,C_Elec_4x5.4,1,1uF,     C3348
"C5, C6",1206,2,10uF,
C7,1206,1,1.5nF,C2180991
C8,C_Elec_6.3x5.4,1,100µF,
CON1,BarrelJack_Horizontal,1,BARREL_JACK,
D1,1206,1,LED,
D3,D_SMB_Handsoldering,1,Schottky 5A,
"J14, J3",IDC-Header_2x15_P2.54mm_Horizontal,2,Conn_02x15_Odd_Even,
J4,IDC-Header_2x07_P2.54mm_Horizontal,1,Conn_02x07_Odd_Even,
L2,L_12x12mm_H4.5mm,1,33µH,
R1,2010,1,560,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R4, R5, R6, R7, R8, R9",2010,18,10k,
R2,2010,1,392,C230627
R22,2010,1,1k,
R23,2010,1,6.2k,
R3,2010,1,240,C20389
U2,TO-263-5_TabPin3,1,LM2596S-ADJ,
U3,SOT-223-3_TabPin2,1,LM317_SOT-223,C51466
U4,MODULE_ESP32-DEVKITC-32D,1,ESP32-DEVKITC-32D,
"U5, U6",TSSOP-28_4.4x9.7mm_P0.65mm,2,PCA9685PW,
